Abbreviation	Description	Reaction	GPR	Genes	Proteins	Subsystem	Reversible	Lower bound	Upper bound	Objective	Confidence Score	EC Number	Notes
BIO_AA_ASSEMBLY_W	Includes the energy required to polymerize the amino acids	Bio_aa_raw_w + 2.35 W00001 + 0.35 W00002 + 2.0 W00044 --> Bio_aa_w + 0.35 W00008 + 2.35 W00009 + 2.0 W00035 + 2.35 W00080					False	0.0	1000.0	0	Biomass		
BIO_AA_M	Mitochondrial amino acids	0.066 C00025 + 0.049 C00037 + 0.06 C00041 + 0.063 C00047 + 0.054 C00049 + 0.056 C00062 + 0.041 C00064 + 0.082 C00065 + 0.025 C00073 + 0.011 C00078 + 0.044 C00079 + 0.032 C00082 + 0.022 C00097 + 0.093 C00123 + 0.024 C00135 + 0.042 C00148 + 0.053 C00152 + 0.057 C00183 + 0.056 C00188 + 0.069 C00407 --> Bio_aa_m_raw					False	0.0	1000.0	0	Biomass		
BIO_AA_M_ASSEMBLY	Includes the energy required to polymerize the amino acids	Bio_aa_m_raw + 2.35 C00001 + 0.35 C00002 + 2.0 C00044 --> Bio_aa_m + 0.35 C00008 + 2.35 C00009 + 2.0 C00035 + 2.35 C00080					False	0.0	1000.0	0	Biomass		
BIO_AA_W	Amino acids	0.068 W00025 + 0.067 W00037 + 0.065 W00041 + 0.086 W00047 + 0.053 W00049 + 0.043 W00062 + 0.030 W00064 + 0.077 W00065 + 0.024 W00073 + 0.007 W00078 + 0.042 W00079 + 0.033 W00082 + 0.013 W00097 + 0.089 W00123 + 0.019 W00135 + 0.032 W00148 + 0.053 W00152 + 0.071 W00183 + 0.044 W00188 + 0.085 W00407 --> Bio_aa_raw_w					False	0.0	1000.0	0	Biomass		
BIO_COF	Cofactors and related molecules	0.125 C00003 + 0.125 C00006 + 0.125 C00010 + 0.125 C00016 + 0.125 C00018 + 0.125 C00032 + 0.125 C00043 + 0.125 C00101 --> Bio_cof					False	0.0	1000.0	0	Biomass		
BIO_COF_W	Cofactors and related molecules	0.125 W00003 + 0.125 W00006 + 0.125 W00010 + 0.125 W00016 + 0.125 W00032 + 0.125 W00043 + 0.125 W00101 --> Bio_cof_w					False	0.0	1000.0	0	Biomass		
BIO_DNA	DNA	0.354 C00131 + 0.146 C00286 + 0.146 C00458 + 0.354 C00459 --> Bio_dna_raw					False	0.0	1000.0	0	Biomass		
BIO_DNA_ASSEMBLY	Includes the energy required to polymerize DNA	Bio_dna_raw + 0.35 C00001 + 0.35 C00002 --> Bio_dna + 0.35 C00008 + 0.35 C00009 + 0.35 C00080					False	0.0	1000.0	0	Biomass		
BIO_DNA_ASSEMBLY_W	Includes the energy required to polymerize DNA	Bio_dna_raw_w + 0.35 W00001 + 0.35 W00002 --> Bio_dna_w + 0.35 W00008 + 0.35 W00009 + 0.35 W00080					False	0.0	1000.0	0	Biomass		
BIO_DNA_W	DNA (A,G,C,T)	0.329 W00131 + 0.171 W00286 + 0.171 W00458 + 0.329 W00459 --> Bio_dna_raw_w					False	0.0	1000.0	0	Biomass		
BIO_LIPIDS	Membrane associated or other lipids	0.453 C00157 + 0.073 C00187 + 0.314 C00350 + 0.078 C00550 + 0.039 C01194 + 0.043 C02737 --> Bio_lipids					False	0.0	1000.0	0	Biomass		
BIO_LIPIDS_W	Membrane associated or other lipids	0.4 W00157 + 0.6 W00350 --> Bio_lipids_w					False	0.0	1000.0	0	Biomass		
BIO_MISC	Other compounds	0.36 C00315 + 0.079 C00353 + 0.561 C00750 --> Bio_misc					False	0.0	1000.0	0	Biomass		
BIO_MISC_W	Other compounds (should be glycogen and murein in e. coli)	0.36 W00315 + 0.079 W00353 + 0.561 W00750 --> Bio_misc_w					False	0.0	1000.0	0	Biomass		Used?
BIO_NGAM	Non-growth associated maintenance	C00001 + C00002 --> C00008 + C00009 + C00080					False	100.0	1000.0	0			
BIO_NGAM_W	Non-growth associated maintenance	W00001 + W00002 --> W00008 + W00009 + W00080					False	10.0	100.0	0			Set to some minimum
BIO_RNA	RNA	0.324 C00002 + 0.208 C00044 + 0.178 C00063 + 0.29 C00075 --> Bio_rna_raw					False	0.0	1000.0	0	Biomass		
BIO_RNA_ASSEMBLY	Includes the energy required to polymerize RNA	Bio_rna_raw + 0.35 C00001 + 0.35 C00002 --> Bio_rna + 0.35 C00008 + 0.35 C00009 + 0.35 C00080					False	0.0	1000.0	0	Biomass		
BIO_RNA_ASSEMBLY_W	Includes the energy required to polymerize RNA	Bio_rna_raw_w + 0.35 W00001 + 0.35 W00002 --> Bio_rna_w + 0.35 W00008 + 0.35 W00009 + 0.35 W00080					False	0.0	1000.0	0	Biomass		
BIO_RNA_W	RNA (A,G,C,T)	0.345 W00002 + 0.214 W00044 + 0.145 W00063 + 0.295 W00075 --> Bio_rna_raw_w					False	0.0	1000.0	0	Biomass		
BIO_SAT	Saturated fatty acids	0.392 C00249 + 0.42 C01530 + 0.1 C02679 + 0.088 C06424 --> Bio_sat					False	0.0	1000.0	0	Biomass		
BIO_SAT_W	Saturated fatty acids	0.392 W00249 + 0.42 W01530 + 0.1 W02679 + 0.088 W06424 --> Bio_sat_w					False	0.0	1000.0	0	Biomass		Used?
BIO_UNSAT	Unsaturated acids	0.084 C00219 + 0.369 C00712 + 0.547 C01595 --> Bio_unsat					False	0.0	1000.0	0	Biomass		
BIO_UNSAT_W	Unsaturated acids	0.084 W00219 + 0.369 W00712 + 0.547 W01595 --> Bio_unsat_w					False	0.0	1000.0	0	Biomass		Used?
CARBON_SOURCE	Glucose import	C00001 + C00002 --> C00008 + C00009 + C00031 + C00080					False	0.0	250.0	0			
CARBON_SOURCE_2_W	PRPP import	C00119 + W00001 + W00002 --> W00008 + W00009 + W00080 + W00119					False	0.0	100.0	0			Anabolic carbon source.
CARBON_SOURCE_3_W	Fructose-6P	C00085 + W00001 + W00002 --> W00008 + W00009 + W00080 + W00085					False	0.0	100.0	0			Anabolic carbon source.
CARBON_SOURCE_W	Pyruvate import	C00022 + W00001 + W00002 --> W00008 + W00009 + W00022 + W00080					False	0.0	100.0	0			Main carbon source.
DIFFUSION_1	Water	 <=> C00001					True	-10000.0	10000.0	0	Modelling		
DIFFUSION_10_W	Formate	C00058 <=> W00058					True	-100.0	100.0	0			
DIFFUSION_1_W	Water	C00001 <=> W00001					True	-1000.0	1000.0	0			
DIFFUSION_2	Oxygen	 --> C00007					False	0.0	580.0	0	Modelling		
DIFFUSION_2_W	Oxygen	C00007 <=> W00007					True	-100.0	100.0	0			
DIFFUSION_3	Carbon dioxide	 <-- C00011					False	-1000.0	0.0	0	Modelling		
DIFFUSION_3_W	Carbon dioxide	C00011 <=> W00011					True	-100.0	100.0	0			
DIFFUSION_4	Ammonia	 <=> C00014					True	-1000.0	1000.0	0	Modelling		
DIFFUSION_4_W	Ammonia	C00014 <=> W00014					True	-100.0	100.0	0			
DIFFUSION_5	Diphosphate	 <=> C00013					True	-1000.0	1000.0	0	Modelling		
DIFFUSION_5_W	Diphosphate	C00013 <=> W00013					True	-100.0	100.0	0			
DIFFUSION_6	Phosphate	 <=> C00009					True	-1000.0	1000.0	0	Modelling		
DIFFUSION_6_W	Phosphate	C00009 <=> W00009					True	-100.0	100.0	0			
DIFFUSION_7	Ethanol	 <-- C00469					False	-1000.0	0.0	0	Modelling		
DIFFUSION_7_W	Ethanol	C00469 <=> W00469					True	-100.0	100.0	0			
DIFFUSION_8	Bicarbonate	 <=> C00288					True	-1000.0	1000.0	0	Modelling		
DIFFUSION_8_W	Bicarbonate	C00288 <=> W00288					True	-100.0	100.0	0			
DIFFUSION_9	Proton diffusion	 <=> C00080					True	-1000.0	1000.0	0	Modelling		
DIFFUSION_9_W	Fe2+	C14818 <=> W14818					True	-100.0	100.0	0			
FA_SOURCE	Fatty acids	C00001 + C00002 --> C00008 + C00009 + C00080 + 0.4 C00249 + 0.2 C01530 + 0.5 C01595 + 0.4 C06424					False	0.0	50.0	0	Modelling		
FA_SOURCE_1_W	Fatty acids	C00249 + W00001 + W00002 --> W00008 + W00009 + W00080 + W00249					False	0.0	100.0	0	Modelling		
FA_SOURCE_2_W	Fatty acids	C01530 + W00001 + W00002 --> W00008 + W00009 + W00080 + W01530					False	0.0	100.0	0	Modelling		
FA_SOURCE_3_W	Fatty acids	C01595 + W00001 + W00002 --> W00008 + W00009 + W00080 + W01595					False	0.0	100.0	0	Modelling		
FA_SOURCE_4_W	Fatty acids	C06424 + W00001 + W00002 --> W00008 + W00009 + W00080 + W06424					False	0.0	100.0	0	Modelling		
FA_TRANS_1	Palmitoyl	C02990 + M00318 --> C00318 + M02990				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
FA_TRANS_10	Hexanoyl	CC5270 + M00318 --> C00318 + MC5270				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
FA_TRANS_11	Decanoyl	CC5274 + M00318 --> C00318 + MC5274				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
FA_TRANS_12	Butanoyl	CC0136 + M00318 --> C00318 + MC0136				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
FA_TRANS_13	Acetyl	C02571 + M00318 --> C00318 + M02571				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
FA_TRANS_2	Dodecanoyl	CC1832 + M00318 --> C00318 + MC1832				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
FA_TRANS_3	Octanoyl	CC1944 + M00318 --> C00318 + MC1944				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
FA_TRANS_4	Linoleic	CC2050 + M00318 --> C00318 + MC2050				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
FA_TRANS_5	Dihomo-gamma-linolenyl	CC3595 + M00318 --> C00318 + MC3595				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
FA_TRANS_6	Arachidonic	CC2249 + M00318 --> C00318 + MC2249				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
FA_TRANS_7	Tetradecanoyl	CC2593 + M00318 --> C00318 + MC2593				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
FA_TRANS_8	Stearoyl	CC0412 + M00318 --> C00318 + MC0412				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
FA_TRANS_9	Propionyl	CC0100 + M00318 --> C00318 + MC0100				Fatty acid metabolism	False	0.0	1000.0	0			Carnitine shuttle
M_TRANS_1	Water	C00001 <=> M00001					True	-10000.0	10000.0	0			
M_TRANS_10	Malate and akg	C00149 + M00026 <=> C00026 + M00149					True	-1000.0	1000.0	0			
M_TRANS_11	Glutamate and aspartate	C00025 + M00049 <=> C00049 + M00025					True	-1000.0	1000.0	0			Part of the malate-aspartate shuttle
M_TRANS_12	Tetrahydrofolate	C00101 <=> M00101					True	-1000.0	1000.0	0			Part of the malate-aspartate shuttle
M_TRANS_13	Tetrahydropteroyltri-L-glutamate	C04144 <=> M04144					True	-1000.0	1000.0	0			
M_TRANS_14	Pantetheine 4-Phosphate	C01134 <=> M01134					True	-1000.0	1000.0	0			
M_TRANS_15	Acetate	C00033 <=> M00033					True	-1000.0	1000.0	0			
M_TRANS_16	Propanoate	C00163 <=> M00163					True	-1000.0	1000.0	0			
M_TRANS_17	Adenosine transport	C00002 --> M00008 + M00009					False	0.0	1000.0	0			
M_TRANS_18	Malate	C00149 + M00009 <=> C00009 + M00149					True	-1000.0	1000.0	0			Not based on a physical reaction, but I needed some way to get adenosine into the mitochondria
M_TRANS_19	Succinate	C00042 + M00009 <=> C00009 + M00042					True	-1000.0	1000.0	0			
M_TRANS_2	Oxygen	C00007 <=> M00007					True	-1000.0	1000.0	0			
M_TRANS_20	Fumarate	C00122 + M00009 <=> C00009 + M00122					True	-1000.0	1000.0	0			
M_TRANS_21	34hpp	C01179 <=> M01179					True	-1000.0	1000.0	0			UQ & RQ biosynthesis
M_TRANS_22	nonadp	C04145 <=> M04145					True	-1000.0	1000.0	0			UQ & RQ biosynthesis
M_TRANS_23	amet	C00019 <=> M00019					True	-1000.0	1000.0	0			UQ & RQ biosynthesis
M_TRANS_24	ahcys	C00021 <=> M00021					True	-1000.0	1000.0	0			UQ & RQ biosynthesis
M_TRANS_3	ATP	C00008 + M00002 --> C00002 + M00008					False	0.0	2000.0	0			
M_TRANS_4	Phosphate	C00009 + C00080 <=> M00009 + M00080					True	-1000.0	1000.0	0			
M_TRANS_5	Pyruvate	C00022 + C00080 <=> M00022 + M00080					True	-1000.0	1000.0	0			
M_TRANS_6	Ammonium	C00014 <=> M00014					True	-1000.0	1000.0	0			
M_TRANS_7	CoA	C00010 <=> M00010					True	-1000.0	1000.0	0			
M_TRANS_8	CO2	C00011 <=> M00011					True	-1000.0	1000.0	0			
M_TRANS_9	Citrate and malate	C00080 + C00158 + M00149 <=> C00149 + M00080 + M00158					True	-1000.0	1000.0	0			
N00001	Elongase	2.0 C00005 + 2.0 C00080 + C00083 + C03035 --> 2.0 C00006 + C00010 + C00011 + C03595				Arachidonic acid metabolism	False	0.0	1000.0	0			
NUTRIENTS_1	Tryptophan	C00001 + C00002 --> C00008 + C00009 + C00078 + C00080					False	0.0	100.0	0	Modelling		
NUTRIENTS_10	Proline	C00001 + C00002 --> C00008 + C00009 + C00080 + C00148					False	0.0	100.0	0	Modelling		
NUTRIENTS_11	Arginine	C00001 + C00002 --> C00008 + C00009 + C00062 + C00080					False	0.0	100.0	0	Modelling		
NUTRIENTS_12	Glutamine	C00001 + C00002 --> C00008 + C00009 + C00064 + C00080					False	0.0	100.0	0	Modelling		
NUTRIENTS_13	Serine	C00001 + C00002 --> C00008 + C00009 + C00065 + C00080					False	0.0	100.0	0	Modelling		
NUTRIENTS_14	Valine	C00001 + C00002 --> C00008 + C00009 + C00080 + C00183					False	0.0	100.0	0	Modelling		
NUTRIENTS_15	Leucine	C00001 + C00002 --> C00008 + C00009 + C00080 + C00123					False	0.0	100.0	0	Modelling		
NUTRIENTS_16	Isoleucine	C00001 + C00002 --> C00008 + C00009 + C00080 + C00407					False	0.0	100.0	0	Modelling		
NUTRIENTS_17	Histidine	C00001 + C00002 --> C00008 + C00009 + C00080 + C00135					False	0.0	100.0	0	Modelling		
NUTRIENTS_18	Phenylalanine	C00001 + C00002 --> C00008 + C00009 + C00079 + C00080					False	0.0	100.0	0	Modelling		
NUTRIENTS_19	Tyrosine	C00001 + C00002 --> C00008 + C00009 + C00080 + C00082					False	0.0	100.0	0	Modelling		
NUTRIENTS_2	Threonine	C00001 + C00002 --> C00008 + C00009 + C00080 + C00188					False	0.0	100.0	0	Modelling		
NUTRIENTS_20	Lysine	C00001 + C00002 --> C00008 + C00009 + C00047 + C00080					False	0.0	100.0	0	Modelling		
NUTRIENTS_21	Adenine	C00001 + C00002 --> C00008 + C00009 + C00080 + C00147					False	0.0	100.0	0	Modelling		
NUTRIENTS_3	Methionine	C00001 + C00002 --> C00008 + C00009 + C00073 + C00080					False	0.0	100.0	0	Modelling		
NUTRIENTS_4	Alanine	C00001 + C00002 --> C00008 + C00009 + C00041 + C00080					False	0.0	100.0	0	Modelling		
NUTRIENTS_5	Cysteine	C00001 + C00002 --> C00008 + C00009 + C00080 + C00097					False	0.0	100.0	0	Modelling		
NUTRIENTS_6	Aspartate	C00001 + C00002 --> C00008 + C00009 + C00049 + C00080					False	0.0	100.0	0	Modelling		
NUTRIENTS_7	Glutamate	C00001 + C00002 --> C00008 + C00009 + C00025 + C00080					False	0.0	100.0	0	Modelling		
NUTRIENTS_8	Glycine	C00001 + C00002 --> C00008 + C00009 + C00037 + C00080					False	0.0	100.0	0	Modelling		
NUTRIENTS_9	Asparagine	C00001 + C00002 --> C00008 + C00009 + C00080 + C00152					False	0.0	100.0	0	Modelling		
R00004	diphosphate phosphohydrolase;  pyrophosphate phosphohydrolase	C00001 + C00013 --> 2.0 C00009 + C00080		Bm13876		Oxidative phosphorylation	False	0.0	501.6707848554419	0		3.6.1.1	
R00004_M	diphosphate phosphohydrolase;  pyrophosphate phosphohydrolase	M00001 + M00013 --> 2.0 M00009 + M00080		Bm13876		Oxidative phosphorylation	False	0.0	501.6707848554419	0		3.6.1.1	
R00004_W	diphosphate phosphohydrolase;  pyrophosphate phosphohydrolase	W00001 + W00013 --> 2.0 W00009 + W00080		AAW71171		Oxidative phosphorylation	False	0.0	100.0	0		3.6.1.1	
R00009	catalase	2.0 C00027 --> 2.0 C00001 + C00007					False	0.0	1000.0	0	Modelling	1.11.1.6	
R00009_W	catalase	2.0 W00027 --> 2.0 W00001 + W00007					False	0.0	100.0	0	Modelling	1.11.1.6	
R00010	alpha,alpha-trehalose glucohydrolase	C00001 + C01083 --> 2.0 C00031		Bm10074;Bm10630;Bm7902;Bm5570;Bm13745a;Bm2327;Bm3379;Bm6193;Bm6194		Metabolic pathways;Starch and sucrose metabolism;	False	0.0	552.5573939688854	0		3.2.1.28	
R00014_M	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	M00022 + M00068 --> M00011 + M05125		Bm11079;Bm7953;Bm13682;Bm13737		Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Citrate cycle (TCA cycle);Glycolysis / Gluconeogenesis;Microbial metabolism in diverse environments;Pyruvate metabolism;	False	0.0	351.2382500618303	0		1.2.4.1	
R00014_W	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	W00022 + W00068 --> W00011 + W05125		AAW70798;AAW71254		Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Citrate cycle (TCA cycle);Glycolysis / Gluconeogenesis;Microbial metabolism in diverse environments;Pyruvate metabolism;	False	0.0	100.0	0		1.2.4.1	
R00022	chitobiose N-acetylglucosaminohydrolase	C00001 + C01674 --> 2.0 C00140		Bm5792		Amino sugar and nucleotide sugar metabolism;Biosynthesis of secondary metabolites;	False	0.0	357.6941810950869	0		3.2.1.52	
R00036_W	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing;  porphobilinogen-forming)	2.0 W00430 --> 2.0 W00001 + W00931		AAW70961		Biosynthesis of secondary metabolites;Metabolic pathways;Porphyrin and chlorophyll metabolism;	False	0.0	65.50859653884959	0		4.2.1.24	Unique to Wolbachia
R00066_W		2.0 W04332 --> W00255 + W04732		AAW70675;AAW70780		Metabolic pathways;Riboflavin metabolism;	False	0.0	49.21059544337914	0		2.5.1.9	Present in Brugia with evidence not in OVOC
R00081_M	Ferrocytochrome-c:oxygen oxidoreductase	M00007 + 8.0 M00080 + 4.0 M00126 --> 4.0 C00080 + 2.0 M00001 + 4.0 M00125		Bm126;Bm5155		Oxidative phosphorylation	False	0.0	53.49609384116771	0		1.9.3.1	Complex IV
R00081_W	Ferrocytochrome-c:oxygen oxidoreductase	W00007 + 8.0 W00080 + 4.0 W00126 --> 4.0 C00080 + 2.0 W00001 + 4.0 W00125		AAW70897;AAW70896;AAW71286		Oxidative phosphorylation	False	0.0	78.73117437102812	0	Gene	1.9.3.1	Complex IV
R00082	Ferrocytochrome c2:oxygen oxidoreductase	C00007 + 4.0 C01000 --> 2.0 C00001 + 4.0 C00997		Bm126;Bm5155		Oxidative phosphorylation	False	0.0	53.49609384116771	0		1.9.3.1	
R00082_W	Ferrocytochrome c2:oxygen oxidoreductase	W00007 + 4.0 W01000 --> 2.0 W00001 + 4.0 W00997		AAW70897;AAW70896;AAW71286		Oxidative phosphorylation	False	0.0	78.73117437102812	0		1.9.3.1	
R00084_W	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing);  porphobilinogen ammonia-lyase (polymerizing)	W00001 + 4.0 W00931 --> 4.0 W00014 + W01024		AAW71365		Biosynthesis of secondary metabolites;Metabolic pathways;Porphyrin and chlorophyll metabolism;	False	0.0	60.44575899228571	0		2.5.1.61	Unique to Wolbachia
R00086_M	ATP phosphohydrolase	M00001 + M00002 + 3.0 M00080 <-- 4.0 C00080 + M00008 + M00009		Bm13835;Bm3588;Bm4324;Bm2058;Bm7480;Bm10442;Bm2427;Bm6581;Bm7196;Bm5487;Bm11337;Bm3103;Bm492;Bm4663;Bm13698a;Bm9322;Bm3132;Bm2795;Bm5003a;Bm6692;Bm7077c;Bm3876;Bm4476b;Bm6339b;Bm5546;Bm6489e;Bm13836;Bm6686;Bm13697a;Bm4682c;Bm4059;Bm1959d;Bm7128;Bm3524;Bm7476;Bm4791d;Bm1779;Bm13784;Bm13699;Bm4528;Bm5486;Bm2924c;Bm3633z;Bm2013;Bm3496;Bm3761;Bm7164.2;Bm13759a;Bm5082;Bm4436a;Bm13966c;Bm14792;Bm5650f;Bm7145;Bm4506;Bm6864b;Bm4626;Bm13734;Bm13837g;Bm2594a;Bm2368b;Bm5210d;Bm7504a;Bm1702;Bm3373;Bm13812a;Bm13700;Bm13702;Bm5608a;Bm4769;Bm7533;Bm3113c;Bm6676;Bm4631b;Bm1838;Bm7436;Bm6413b		Purine metabolism;	False	-1187.566450209357	0.0	0		3.6.3.1/3.6.3.14/3.6.3.12/3.6.4.6/3.6.4.12/3.6.3.41/3.6.3.44/3.6.3.54/3.6.4.3/3.6.4.13/3.6.3.9/3.6.3.8/3.6.3.27	ATP synthase
R00086_W	ATP phosphohydrolase	W00001 + W00002 + 3.0 W00080 <-- 4.0 C00080 + W00008 + W00009		AAW70794;AAW70840;AAW70841;AAW70606;AAW71277;AAW71223;AAW71116;AAW70903;AAW71216;AAW71296;AAW70888;AAW70769		Purine metabolism;	False	-134.4705885780635	0.0	0	Gene	3.6.1.15/3.6.3.1/3.6.3.14/3.6.3.27/3.6.3.41/3.6.3.44/3.6.3.54/3.6.3.8/3.6.3.9/3.6.4.12/3.6.4.13/3.6.4.3/3.6.4.6	ATP synthase
R00089	ATP diphosphate-lyase (cyclizing;  3',5'-cyclic-AMP-forming)	C00002 --> C00013 + C00575		Bm3414;Bm5462		Purine metabolism;	False	0.0	260.5549720553353	0		4.6.1.1	
R00100	NADH:ferricytochrome-b5 oxidoreductase	C00004 + C00080 + 2.0 C00996 <=> C00003 + 2.0 C00999		Bm13739a		Amino sugar and nucleotide sugar metabolism;Biosynthesis of secondary metabolites;	True	-798.3790827785282	798.3790827785282	0		1.6.2.2	
R00104	ATP:NAD+ 2'-phosphotransferase	C00002 + C00003 --> C00006 + C00008				Metabolic pathways;Nicotinate and nicotinamide metabolism;	False	0.0	1000.0	0		2.7.1.23	Unique to Wolbachia; but the gene appears to be found in all cellular life
R00104_W	ATP:NAD+ 2'-phosphotransferase	W00002 + W00003 --> W00006 + W00008		AAW70988		Metabolic pathways;Nicotinate and nicotinamide metabolism;	False	0.0	68.05137291760576	0		2.7.1.23	Unique to Wolbachia; but the gene appears to be found in all cellular life
R00112_M	NADPH:NAD+ oxidoreductase	M00003 + M00005 <=> M00004 + M00006				Metabolic pathways;Nicotinate and nicotinamide metabolism;	True	-1000.0	1000.0	0			
R00115	glutathione:NADP+ oxidoreductase	C00006 + 2.0 C00051 <-- C00005 + C00080 + C00127		Bm2794		Glutathione metabolism;	False	-584.2607622661822	0.0	0		1.8.1.7	
R00115_M	glutathione:NADP+ oxidoreductase	M00006 + 2.0 M00051 <-- M00005 + M00080 + M00127		Bm2794		Glutathione metabolism;	False	-584.2607622661822	0.0	0		1.8.1.7	
R00127	ATP:AMP phosphotransferase	C00002 + C00020 <=> 2.0 C00008		Bm11298;Bm3965;Bm3343b;Bm9070;Bm14014;Bm3099		Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Metabolic pathways;Purine metabolism;	True	-374.083338096091	374.083338096091	0		2.7.4.3	
R00127_M	ATP:AMP phosphotransferase	M00002 + M00020 <=> 2.0 M00008		Bm11298;Bm3965;Bm3343b;Bm9070;Bm14014;Bm3099		Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Metabolic pathways;Purine metabolism;	True	-374.083338096091	374.083338096091	0		2.7.4.3	
R00127_W	ATP:AMP phosphotransferase	W00002 + W00020 <=> 2.0 W00008		AAW70910		Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Metabolic pathways;Purine metabolism;	True	-18.8156684301099	18.8156684301099	0		2.7.4.3	
R00130_M	ATP:dephospho-CoA 3'-phosphotransferase	M00002 + M00882 --> M00008 + M00010 + M00080		Bm5592;Bm6972		Metabolic pathways;Pantothenate and CoA biosynthesis;	False	0.0	876.3819686422372	0		2.7.1.24	
R00130_W	ATP:dephospho-CoA 3'-phosphotransferase	W00002 + W00882 --> W00008 + W00010 + W00080		AAW70848		Metabolic pathways;Pantothenate and CoA biosynthesis;	False	0.0	34.49192523755359	0		2.7.1.24	
R00137	ATP:nicotinamide-nucleotide adenylyltransferase	C00002 + C00080 + C00455 <=> C00003 + C00013		Bm10984;Bm3639		Metabolic pathways;Nicotinate and nicotinamide metabolism;	True	-616.5001030216124	616.5001030216124	0		2.7.7.1	
R00139	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	C00002 + C11038 --> C00008 + C11039		Bm13781b;Bm6678		Pyrimidine metabolism;	False	0.0	312.9841748353344	0		2.7.4.6	
R00139_W	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	W00002 + W11038 --> W00008 + W11039		AAW71305		Pyrimidine metabolism;	False	0.0	9.099378453356396	0		2.7.4.6	
R00156	ATP:UDP phosphotransferase	C00002 + C00015 <=> C00008 + C00075		Bm13781b;Bm6678		Metabolic pathways;Pyrimidine metabolism;	True	-312.9841748353344	312.9841748353344	0		2.7.4.6	
